Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Breathe,(2018– ),16+,45 min,"Drama, Thriller",8.3,This series just asks one question - how far will you go to protect the one you love. Two desperate and driven men must engage in the ultimate cat and mouse game to save the one they love.,Madhavan,Amit Sadh,Sapna Pabbi,Shriswara,15573
Dirty John,(2018– ),16,44 min,"Crime, Drama",7.2,Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,Connie Britton,Christian Slater,Eric Bana,Amanda Peet,15549
The Bugs Bunny/Looney Tunes Comedy Hour,(1985–1986),NA,45 min,"Animation, Family, Comedy",8.4,"A Saturday morning series, collecting of some of the most popular classic cartoons from the Looney Tunes catalogue.",June Foray,NA,NA,NA,15532
Ellen: The Ellen DeGeneres Show,(2003– ),NA,60 min,"Comedy, Talk-Show",6.9,"A mix of celebrity interviews, musical performers, audience participation games, and segments spotlighting real people with extraordinary stories and talents.",Stephen Boss,Andy Lassner,Wanda Sykes,NA,15513
Metalocalypse,(2006–2013),NA,11 min,"Animation, Comedy, Music",8.2,"The epic and over-the-top adventures of Dethklok, the world's most successful death metal band.",Tommy Blacha,Mark Hamill,Victor Brandt,NA,15493
Danny Phantom,(2004–2007),NA,30 min,"Animation, Action, Adventure",7.1,A 14-year-old receives ghost powers and uses them to save the world,Grey Griffin,Rickey D'Shon Collins,Colleen O'Shaughnessey,NA,15486
Queer Eye,(2018– ),16,45 min,Reality-TV,8.5,"A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor.",Bobby Berk,Karamo Brown,Tan France,Antoni Porowski,15484
RuPaul's Drag Race,(2009– ),NA,63 min,"Game-Show, Reality-TV",8.5,RuPaul searches for America's next drag superstar.,Michelle Visage,Santino Rice,Jason Carter,NA,15469
Girlboss,(2017),18,26 min,Comedy,7,"Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story of Nasty Gal Founder, Sophia Amoruso.",Britt Robertson,Ellie Reed,Johnny Simmons,Alphonso McAuley,15429
Tru Calling,(2003–2005),NA,43 min,"Drama, Fantasy, Mystery",7.4,A university graduate working in the city morgue is able to repeat the same day over again to prevent murders or other disasters.,Shawn Reaves,Zach Galifianakis,A.J. Cook,NA,15408
Body of Proof,(2011–2013),NA,60 min,"Comedy, Crime, Drama",7.1,Medical examiner Megan Hunt's unique approach to solving crimes puts her at odds with her superiors.,Jeri Ryan,Geoffrey Arend,Windell Middlebrooks,NA,15400
In Treatment,(2008–2021),NA,25 min,Drama,8.3,"A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.",Dianne Wiest,Michelle Forbes,Blair Underwood,NA,15373
My Mad Fat Diary,(2013–2015),NA,47 min,"Comedy, Drama, Romance",8.4,"Set in 1996 in Lincolnshire, the show tells the tragic and humorous story of a very troubled young girl, Rae, who spent four months in a psychiatric hospital for attempted suicide. After ...                See full summary »",Ciara Baxendale,Dan Cohen,Sharon Rooney,NA,15347
Pawn Stars,(2009– ),NA,30 min,Reality-TV,7.2,"Rick Harrison and his family own and run a pawn shop on the Las Vegas strip. They buy, sell, and appraise items of historical value.",Corey Harrison,Austin 'Chumlee' Russell,Richard Harrison,NA,15344
Içerde,(2016–2017),NA,60 min,"Action, Crime, Drama",8,"A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity.",Aras Bulut Iynemli,Çetin Tekindor,Nihal G. Koldas,NA,15305
"Walker, Texas Ranger",(1993–2001),NA,43 min,"Action, Adventure, Crime",5.5,Walker and his partner Trivette are Texas Rangers. They make it their business to battle crime in Dallas and all around the Great State of Texas.,Clarence Gilyard Jr.,Sheree J. Wilson,Noble Willingham,NA,15292
Doctor Foster,(2015–2017),NA,60 min,Drama,7.7,A woman suspects her husband of having an affair. After following several lines of inquiry far more unravels including a streak of violence below the surface.,Bertie Carvel,Tom Taylor,Thusitha Jayasundera,NA,15286
Daybreak,(I) (2019),18+,60 min,"Action, Adventure, Comedy",6.7,High school outcast Josh is searching for his missing girlfriend in post apocalyptic Glendale. He's joined by a group of misfits Angelica and his former bully Wesley. On the way they'll face many weird things.,Colin Ford,Alyvia Alyn Lind,Sophie Simnett,Austin Crute,15263
Kingdom,(2014–2017),18,43 min,Drama,8.5,A retired MMA fighter turned trainer juggles keeping his mixed martial arts gym running and keeping his family united.,Frank Grillo,Kiele Sanchez,Matt Lauria,Jonathan Tucker,15207
NCIS: New Orleans,(2014–2021),NA,42 min,"Crime, Drama, Mystery",6.8,"A spin-off of NCIS: Naval Criminal Investigative Service (2003) about the local field office of NCIS that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment and decadence. This colorful city that harbors a dark side is a magnet for service personnel on leave, and when overindulgence is followed by trouble, Special Agent Dwayne ...                See full summary »",Rob Kerkovich,CCH Pounder,Daryl Mitchell,NA,15163
Muhtesem Yüzyil,(2011–2014),NA,90 min,"Biography, Drama, History",6.7,"From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth"".",Nur Fettahoglu,Selim Bayraktar,Selen Öztürk,NA,15162
Chicago Med,(2015– ),NA,43 min,Drama,7.5,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",Yaya DaCosta,Torrey DeVitto,Brian Tee,NA,15130
Everything Sucks!,(2018),18,30 min,"Comedy, Drama",7.5,"In 1990s Oregon, members of a high school A/V club clash with the drama club.",Jahi Di'Allo Winston,Peyton Kennedy,Patch Darragh,Claudine Mboligikpelani Nako,15084
Northern Exposure,(1990–1995),NA,60 min,"Comedy, Drama",8.3,A newly graduated doctor is required to set up his practice in an eccentric Alaskan town.,Janine Turner,Barry Corbin,John Cullum,NA,15083
Shameless,(2004–2013),18,90 min,"Comedy, Crime, Drama",8,The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.,David Threlfall,Rebecca Atkinson,Alice Barry,Nicky Evans,15056
Sarabhai V/S Sarabhai,(2004–2017),12+,30 min,Comedy,8.8,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",Satish Shah,Ratna Pathak Shah,Sumeet Raghvan,Rupali Ganguly,15034
Please Like Me,(2013–2016),16,29 min,"Comedy, Drama, Romance",8.5,"Twenty something Josh is going through a number of big changes as he navigates his first decade of adulthood. After being dumped by his girlfriend, he comes to the realization that he is gay.",Josh Thomas,Thomas Ward,John,Debra Lawrance,15014
Kardes Payi,(2014–2015),NA,70 min,"Comedy, Drama, Family",8.6,The two brothers have a plumbing company and they are trying to invent something that would make the world a better place.,Murat Cemcir,Seda Bakan,Sinasi Yurtsever,NA,14987
El Chapo,(2017– ),18,43 min,"Crime, Drama",7.8,"A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power during the '90s as the head of the Sinaloa Cartel and his ultimate downfall in 2016.",Marco de la O,Humberto Busto,Diego Vásquez,Juan Carlos Cruz,14980
Glitch,(2015–2019),18+,45 min,"Drama, Sci-Fi",7.3,Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,Patrick Brammall,Emma Booth,Sean Keenan,Hannah Monson,14961
How to Make It in America,(2010–2011),NA,30 min,"Comedy, Drama",7.9,"A group of 20 somethings living in New York City. Ben and Cameron work on starting a fashion company, while enjoying their lives in the greatest city in the world.",Victor Rasuk,Lake Bell,Eddie Kaye Thomas,NA,14953
Dynasty,(2017– ),13,42 min,Drama,7.3,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,Elizabeth Gillies,Rafael de la Fuente,Robert Christopher Riley,Sam Adegoke,14888
Bull,(2016– ),NA,60 min,"Comedy, Crime, Drama",7,"Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick.",Freddy Rodríguez,Geneva Carr,Jaime Lee Kirchner,NA,14857
Norsemen,(2016–2020),18,30 min,Comedy,7.8,Viking life at the close of the 8th century.,Kåre Conradi,Nils Jørgen Kaalstad,Jon Øigarden,Bjørn Myrene,14843
Alfred Hitchcock Presents,(1955–1962),NA,25 min,"Comedy, Crime, Drama",8.5,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",Harry Tyler,John Williams,Patricia Hitchcock,NA,14841
Breakout Kings,(2011–2012),NA,43 min,"Crime, Drama, Thriller",7.3,A squad of U.S. marshals team up with cons (former fugitives) to work together on tracking down prison escapees in exchange for getting time off their sentences.,Brooke Nevin,Malcolm Goodwin,Jimmi Simpson,NA,14834
The Pretender,(1996–2000),NA,60 min,"Drama, Mystery, Sci-Fi",7.5,"A specially gifted man, with the ability to instantly master any skill, escapes from a secret testing facility and travels the country taking on different jobs and helping strangers while hiding from his kidnappers.",Andrea Parker,Patrick Bauchau,Jon Gries,NA,14824
Tosh.0,(2009– ),NA,22 min,Comedy,7.3,Daniel Tosh provides humorous commentary on content from the Internet.,T.K. Kelly,Sam Jarvis,Nick Malis,NA,14812
Darkwing Duck,(1991–1992),NA,30 min,"Animation, Action, Adventure",7.6,A bumbling superhero battles crime with the help of his daughter and pilot sidekick.,Terence McGovern,Christine Cavanaugh,Katie Leigh,NA,14780
Resurrection,(2014–2015),NA,43 min,"Drama, Fantasy",7.3,"The lives of the people of Arcadia, Missouri, are forever changed when their deceased loved ones return.",Frances Fisher,Matt Craven,Devin Kelley,NA,14766
Death in Paradise,(2011– ),NA,60 min,"Comedy, Crime, Drama",7.8,"A UK police DI is transferred to St-Marie to investigate murders on the island, but he hates the sun, sea, and sand. Later series see other English and Irish detectives take over the role.",Danny John-Jules,Don Warrington,Tobi Bakare,NA,14750
A Young Doctor's Notebook & Other Stories,(2012–2013),NA,23 min,"Comedy, Drama",7.9,"In the early 20th century, a young doctor arrives in a small Russian village around the time of the Russian Revolution to work in the local hospital.",Daniel Radcliffe,Rosie Cavaliero,Adam Godley,NA,14722
Tengen toppa gurren lagann,(2007–2008),NA,24 min,"Animation, Action, Adventure",8.3,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.",Kana Asumi,Steve Blum,Johnny Yong Bosch,NA,14722
The Finder,(2012),NA,44 min,"Comedy, Crime, Drama",7.7,"An Iraq war vet suffers a brain injury that triggers the ability to see connections between seemingly unrelated events, objects or people.",Maddie Hasson,Mercedes Mason,Michael Clarke Duncan,NA,14719
Krypton,(2018–2019),NA,45 min,"Action, Adventure, Drama",6.9,The untold story of Superman's grandfather as he fights for justice on his home planet.,Georgina Campbell,Shaun Sipos,Ann Ogbomo,NA,14651
Inuyasha,(2000–2004),16,24 min,"Animation, Action, Adventure",7.9,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,Kappei Yamaguchi,Richard Ian Cox,Darren Pleavin,Satsuki Yukino,14621
The New Batman Adventures,(1997–1999),NA,30 min,"Animation, Action, Adventure",8.5,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing.",Tara Strong,Mathew Valencia,Efrem Zimbalist Jr.,NA,14563
Life's Too Short,(2011–2013),NA,30 min,Comedy,7.5,"The show centers on Warwick Davis in his day-to-day life, complete with the frustrations he faces.",Ricky Gervais,Stephen Merchant,Rosamund Hanson,NA,14559
The Addams Family,(1964–1966),NA,30 min,"Comedy, Family, Horror",8,The misadventures of a blissfully macabre but extremely loving family.,Carolyn Jones,Jackie Coogan,Ted Cassidy,NA,14552
Spooks,(2002–2011),NA,60 min,"Action, Crime, Drama",8.2,"The missions of MI-5, the UK's domestic intelligence organization.",Hugh Simon,Nicola Walker,Rupert Penry-Jones,NA,14536
Criminal: UK,(2019– ),16+,43 min,"Crime, Drama, Thriller",7.6,"A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.",Katherine Kelly,Lee Ingleby,Rochenda Sandall,Shubham Saraf,14498
Gargoyles,(1994–1996),NA,30 min,"Animation, Action, Adventure",8.1,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.,Salli Richardson-Whitfield,Jeff Bennett,Frank Welker,NA,14466
Pew News,(2018–2020),NA,15 min,"Comedy, News",9,"The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.",Felix Kjellberg,Poppy Harlow,Wolf Blitzer,NA,14464
ZeroZeroZero,(2019– ),18,60 min,"Crime, Drama, Thriller",8.2,"A cocaine shipment makes its way to Europe, starting from the moment a powerful cartel of Italian criminals decides to buy it, to its journeys through Mexico, to its shipment across the Atlantic Ocean.",Andrea Riseborough,Dane DeHaan,Giuseppe De Domenico,Harold Torres,14441
Jimmy Kimmel Live!,(2003– ),NA,60 min,"Comedy, Music, Talk-Show",6.5,Jimmy Kimmel interviews celebrities.,Cleto and the Cletones,Guillermo Rodriguez,Cleto Escobedo III,NA,14398
S.W.A.T.,(2017– ),NA,43 min,"Action, Adventure, Crime",7,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,Alex Russell,Lina Esco,Jay Harrington,NA,14397
Mirai nikki,(2011–2013),NA,25 min,"Animation, Action, Drama",7.6,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.",Brina Palencia,Leah Clark,Emily Neves,NA,14378
Friday Night Dinner,(2011–2020),NA,24 min,Comedy,8.1,"Two siblings share their Friday night dinners at their parents home and, somehow, something always goes wrong.",Simon Bird,Paul Ritter,Tom Rosenthal,NA,14363
Believe,(2014),NA,43 min,"Drama, Fantasy, Sci-Fi",7.1,A relationship forms between a gifted young girl and a man sprung from prison who has been tasked with protecting her from the evil elements that hunt her power.,Johnny Sequoyah,Jamie Chung,Kyle MacLachlan,NA,14308
Vinland Saga,(2019),NA,24 min,"Animation, Action, Adventure",8.8,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,Hiroki Yasumoto,Yûto Uemura,Kenshô Ono,NA,14304
Grounded for Life,(2001–2005),NA,22 min,Comedy,7.4,Thirty-something Irish Catholic couple Sean and Claudia deal with their three children as well as Sean's judgmental father and carefree brother.,Megyn Price,Kevin Corrigan,Lynsey Bartilson,NA,14238
Galavant,(2015–2016),NA,22 min,"Adventure, Comedy, Fantasy",8.1,A musical comedy adventure featuring a knight on a quest for love who helps a childish king to see the error of his ways.,Timothy Omundson,Vinnie Jones,Mallory Jansen,NA,14226
Letterkenny,(2016– ),NA,30 min,Comedy,8.6,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",Nathan Dales,Michelle Mylett,K. Trevor Wilson,NA,14210
Mr Selfridge,(2013–2016),NA,45 min,Drama,7.7,"Centers on the real-life story of the flamboyant and visionary American founder of Selfridge's, London's department store.",Jeremy Piven,Tom Goodman-Hill,Amy Beth Hayes,NA,14191
Gypsy,(2017),18,51 min,"Drama, Thriller",6.9,Therapist Jean Holloway becomes too immersed in the lives of her patients.,Naomi Watts,Billy Crudup,Sophie Cookson,Karl Glusman,14189
Ramayan,(1987–1988),U,30 min,"Adventure, Drama, Family",9.1,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",Arun Govil,Deepika Chikhalia,Sunil Lahri,Arvind Trivedi,14185
Kenan & Kel,(1996–2000),NA,30 min,"Comedy, Family",7.8,Kenan and Kel: two best friends who live in Chicago are always dragged down by Kenan's get rich quick schemes while orange soda-loving buddy Kel is dragged along but tends to mess things up.,Kel Mitchell,Ken Foree,Teal Marchande,NA,14184
Crashing,(2016),NA,30 min,Comedy,7.7,"A comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.",Jonathan Bailey,Julie Dray,Louise Ford,NA,14178
Keeping Up Appearances,(1990–1995),NA,60 min,Comedy,7.8,"A snobbish housewife is determined to climb the social ladder, in spite of her family's working class connections and the constant chagrin of her long suffering husband.",Clive Swift,Geoffrey Hughes,Judy Cornwell,NA,14156
White Lines,(2020),18,60 min,"Crime, Drama, Mystery",6.6,"A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.",Laura Haddock,Nuno Lopes,Marta Milans,Daniel Mays,14103
The Big C,(2010–2013),NA,30 min,"Comedy, Drama",8.1,A suburban mother faces her cancer diagnosis while trying to find humor and happiness as well.,Oliver Platt,Gabriel Basso,John Benjamin Hickey,NA,14016
All in the Family,(1971–1979),NA,30 min,"Comedy, Drama",8.3,A working class man constantly squabbles with his family over the important issues of the day.,Jean Stapleton,Rob Reiner,Sally Struthers,NA,14015
Highlander,(1992–1998),NA,60 min,"Action, Adventure, Fantasy",7.2,"Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals.",Stan Kirsch,Jim Byrnes,Peter Wingfield,NA,14008
Versailles,(2015–2018),18,52 min,"Biography, Drama, History",7.9,"In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things.",George Blagden,Alexander Vlahos,Tygh Runyan,Stuart Bowman,13996
The Mick,(2017–2018),NA,30 min,Comedy,7.8,A hard-living aunt is forced to take care of her wealthy sister's spoiled kids after the mom flees the country to avoid criminal charges.,Sofia Black-D'Elia,Thomas Barbusca,Carla Jimenez,NA,13992
The Angry Video Game Nerd,(2004– ),NA,35 min,"Comedy, Fantasy, Sci-Fi",8.5,A foul-mouthed nerd reviews bad video games.,Mike Matei,Kyle Justin,Boo,NA,13979
Tales from the Loop,(2020– ),18+,50 min,"Drama, Sci-Fi",7.5,"The townspeople who live above ""The Loop,"" a machine built to unlock and explore the mysteries of the universe, experience things previously consigned to the realm of science fiction.",Daniel Zolghadri,Paul Schneider,Rebecca Hall,Robert Nahum Allen,13975
Perry Mason,(2020– ),18,60 min,"Crime, Drama",7.6,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.",Matthew Rhys,Juliet Rylance,Chris Chalk,Shea Whigham,13969
Young & Hungry,(2014–2018),NA,22 min,"Comedy, Drama, Romance",7.4,A well-off young tech entrepreneur hires a feisty young food blogger to be his personal chef.,Jonathan Sadowski,Aimee Carrero,Kym Whitley,NA,13909
Battlestar Galactica,(1978–1979),NA,60 min,"Action, Adventure, Sci-Fi",7.2,"After the destruction of the Twelve Colonies of Mankind, the last major fighter carrier leads a makeshift fugitive fleet on a desperate search for the legendary planet Earth.",Richard Hatch,Dirk Benedict,Herbert Jefferson Jr.,NA,13890
Faking It,(2014–2016),NA,21 min,"Comedy, Drama, Romance",7.4,"After numerous attempts of trying to be popular two best friends decide to come out as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse.",Katie Stevens,Gregg Sulkin,Bailey De Young,NA,13854
Superman,(1996–2000),NA,30 min,"Animation, Action, Adventure",8.1,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,Joseph Bologna,Dana Delany,David Kaufman,NA,13829
Mars,(2016–2018),PG,60 min,"Adventure, Drama, Sci-Fi",7.5,The first manned mission from Earth to Mars in 2033 attempts to colonize the red planet.,Jihae,Alberto Ammann,Clémentine Poidatz,Sammi Rotibi,13818
Miss Fisher's Murder Mysteries,(2012–2015),16,60 min,"Crime, Drama, Mystery",8.3,"A female sleuth sashays through the back lanes and jazz clubs of Melbourne in the late 1920s, fighting injustice with her pearl-handled pistol and her dagger-sharp wit.",Essie Davis,Nathan Page,Hugo Johnstone-Burt,Ashleigh Cummings,13810
Life Unexpected,(2010–2011),NA,60 min,Drama,7.5,"After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents.",Kristoffer Polaha,Britt Robertson,Kerr Smith,NA,13808
Zoey 101,(2005–2008),NA,30 min,"Comedy, Drama, Family",6.1,"Zoey Brooks and her brother, Dustin, attend their first day at Pacific Coast Academy, a private boarding school that enrolls girls for the first time in its history.",Paul Butcher,Christopher Massey,Erin Sanders,NA,13795
Brickleberry,(2012–2015),NA,22 min,"Animation, Comedy",7.4,A group of never-do-well forest rangers are facing the shutdown of their National Park when a new ranger arrives to help transform them and save the park.,Roger Black,David Herman,Tom Kenny,NA,13737
The Angry Beavers,(1997–2001),NA,30 min,"Animation, Comedy, Family",7.2,The wacky and sometimes surreal adventures of Norbert and Daggett Beaver.,Nick Bakay,Rick Logan,Charlie Brissette,NA,13734
Undone,(2019– ),16+,23 min,"Animation, Drama, Fantasy",8.2,A woman discovers she has a new relationship with time after surviving a car accident that almost killed her.,Rosa Salazar,Angelique Cabral,Constance Marie,Siddharth Dhananjay,13681
Electric Dreams,(2017– ),16,60 min,Sci-Fi,7.3,A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.,Steve Buscemi,Geraldine Chaplin,Bryan Cranston,Terrence Howard,13679
Paradise PD,(2018– ),18,28 min,"Animation, Action, Comedy",6.9,"Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",Sarah Chalke,David Herman,Tom Kenny,Kyle Kinane,13644
The Black Donnellys,(2007),NA,60 min,"Crime, Drama",8.1,Four young Irish brothers are caught up in New York's underworld of organized crime.,Tom Guiry,Olivia Wilde,Billy Lush,NA,13631
Even Stevens,(2000–2003),NA,30 min,"Comedy, Family",7.6,"The Stevens family live in Sacramento, California, where the two younger children in the family, Ren and Louis, who have opposing personalities, often clash.",Christy Carlson Romano,A.J. Trauth,Nick Spano,NA,13625
Growing Pains,(1985–1992),NA,30 min,"Comedy, Family",6.6,The misadventures of a family with a home business father and a journalist mother.,Joanna Kerns,Kirk Cameron,Jeremy Miller,NA,13567
Charmed,(2018– ),NA,43 min,"Drama, Fantasy",4.6,"Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches.",Madeleine Mantock,Sarah Jeffery,Rupert Evans,NA,13526
Treme,(2010–2013),NA,59 min,"Drama, Music",8.2,"Life after Hurricane Katrina as the residents of New Orleans try to rebuild their lives, their homes, and their unique culture in the aftermath of one of the worst natural disasters in the USA.",Rob Brown,Kim Dickens,Melissa Leo,NA,13523
Chef's Table,(2015– ),16,50 min,Documentary,8.6,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",Dan Barber,Massimo Bottura,Bill Buford,Lara Gilmore,13508
TaleSpin,(1990–1991),NA,30 min,"Animation, Action, Adventure",7.6,Baloo the Bear from The Jungle Book (1967) is cast as a 1930s Pacific Islands bush pilot.,R.J. Williams,Sally Struthers,Jim Cummings,NA,13505
NewsRadio,(1995–1999),NA,23 min,"Comedy, Romance",7.9,"The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station.",Stephen Root,Andy Dick,Maura Tierney,NA,13458
The Amazing Race,(2001– ),NA,60 min,"Adventure, Family, Game-Show",7.6,"Multiple teams race around the globe for $1,000,000 to 'amazing' locations.",Joyce Agu,Uchenna Agu,Jet McCoy,NA,13456
UnREAL,(2015–2018),NA,42 min,Drama,7.8,A behind-the-scenes look at the chaos surrounding the production of a dating competition program.,Craig Bierko,Jeffrey Bowyer-Chapman,Brennan Elliott,NA,13455
The Young Ones,(1982–1984),NA,410 min,Comedy,8.2,The crazy and sometimes surreal comedic adventures of four very different students in Thatcher's Britain.,Adrian Edmondson,Nigel Planer,Christopher Ryan,NA,13449
Delhi Crime,(2019– ),16+,50 min,"Crime, Drama",8.5,"Based on the Nirbhaya case, Delhi Crime follows the Delhi Police investigation into the finding of the men who perpetrated this crime.",Shefali Shah,Rajesh Tailang,Rasika Dugal,Anurag Arora,13422
I Dream of Jeannie,(1965–1970),NA,30 min,"Comedy, Family, Fantasy",7.4,A United States astronaut finds his life vastly complicated when he stumbles on to a bottle containing a female genie.,Larry Hagman,Bill Daily,Hayden Rorke,NA,13408
The Stand,(2020–2021),16,510 min,"Adventure, Drama, Fantasy",5.5,"After the world is in ruins, due to a man-made plague, a battle of Biblical proportions ensues between the survivors.",Whoopi Goldberg,Alexander Skarsgård,James Marsden,Odessa Young,13402
Primeval,(2007–2011),NA,60 min,"Action, Adventure, Drama",7.3,"When strange anomalies start to appear all over England, Professor Cutter and his team must track down and capture all sorts of dangerous prehistoric creatures from Earth's distant past and near future.",Hannah Spearritt,Ben Miller,Juliet Aubrey,NA,13400
Trollhunters,(2016–2018),16,23 min,"Animation, Action, Adventure",8.5,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",Charlie Saxton,Lexi Medrano,Anton Yelchin,Kelsey Grammer,13395
The Eric Andre Show,(2012– ),NA,11 min,Comedy,8.6,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",Hannibal Buress,Robert Smith,Tom Ato,NA,13390
Are You Afraid of the Dark?,(1990–2000),NA,30 min,"Drama, Family, Fantasy",8.2,"A group of kids get together in the woods, and tell ghost stories.",Daniel DeSanto,Raine Pare-Coull,Jodie Resther,NA,13324
Ben 10,(2005–2008),All,22 min,"Animation, Action, Adventure",7.2,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.",Tara Strong,Paul Eiding,Meagan Moore,Dee Bradley Baker,13313
Reba,(2001–2007),NA,30 min,"Comedy, Drama",6.5,"Reba McEntire stars as the titular character in this smash sitcom about a single mom of three, navigating life in a Houston suburb.",JoAnna Garcia Swisher,Steve Howey,Christopher Rich,NA,13313
McMafia,(2018– ),13+,60 min,"Crime, Drama, Thriller",7.7,"Alex Godman has spent his life trying to escape the shadow of his family's past. But when a murder unearths their past, Alex is drawn into the criminal underworld where he must confront his values to protect those he loves.",James Norton,Merab Ninidze,Kirill Pirogov,Igor Pokrajac,13274
The Brink,(2015),NA,30 min,Comedy,7.8,Top U.S. government and military scramble to prevent World War 3 from happening amidst the chaos of a geopolitical crisis.,Tim Robbins,Pablo Schreiber,Aasif Mandvi,NA,13273
Top Boy,(2011– ),18+,60 min,"Crime, Drama, Thriller",8.4,Two London drug dealers ply their lucrative trade at a public housing estate in East London.,Ashley Walters,Kano,Shone Romulus,Micheal Ward,13270
One Day at a Time,(2017–2020),NA,30 min,Comedy,8.2,"Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.",Todd Grinnell,Isabella Gomez,Marcel Ruiz,NA,13247
Miranda,(2009–2015),NA,30 min,Comedy,8.2,"Socially inept Miranda always gets into awkward situations; working in her joke shop with best friend Stevie, being hounded by her pushy mother, and around her crush Gary.",Patricia Hodge,Tom Ellis,Sarah Hadland,NA,13220
Kurtlar Vadisi,(2003–2005),NA,65 min,"Action, Crime, Drama",7.5,Follows a Turkish agent working under the assumed identity of Polat Alemdar attempting to infiltrate the Turkish mafia.,Özgü Namal,Gürkan Uygun,Erdem Ergüney,NA,13207
Franklin & Bash,(2011–2014),NA,60 min,"Comedy, Crime, Drama",7.6,Lawyers and lifelong friends Jared Franklin and Peter Bash are recruited by a large firm's major partner after winning a high-profile case.,Breckin Meyer,Reed Diamond,Malcolm McDowell,NA,13173
Harley Quinn,(2019– ),NA,23 min,"Animation, Action, Adventure",8.5,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.",Lake Bell,Alan Tudyk,Ron Funches,NA,13149
